Domain,Passage,Q1,A1,Q1_Type,Q1_Difficulty,Q2,A2,Q2_Type,Q2_Difficulty,Q3,A3,Q3_Type,Q3_Difficult,Q4,A4,Q4_Type,Q4_Difficulty
Financial Services/Microfinance,माइक्रोफाइनेंस संस्थाओं का विनियमन भारतीय रिज़र्व बैंक द्वारा किया जाता है। 2011 में महालक्ष्मी समिति की सिफारिशों के बाद NBFC-MFI दिशानिर्देश जारी किए गए।,माइक्रोफाइनेंस संस्थाओं का विनियमन कौन करता है?,भारतीय रिज़र्व बैंक (RBI)।,Factual,Easy,NBFC-MFI दिशानिर्देश किस समिति की सिफारिश पर जारी किए गए?,महालक्ष्मी समिति (2011)।,Factual,Medium,RBI विनियमन के मुख्य प्रावधान क्या हैं?,"मार्जिन कैप, ऋण सीमा, बहु-उधारी रोकना, पारदर्शिता, और उचित प्रथाएं।",Analytical,Medium,महालक्ष्मी समिति के सुधारों की प्रभावशीलता क्या है?,"मिश्रित - मार्जिन कैप प्रभावी, बहु-उधारी डेटाबेस अभी विकसित हो रहा, ग्राहक सुरक्षा सुधरी, लेकिन प्रवर्तन चुनौतीपूर्ण।",Analytical,Hard
Financial Services/Microfinance,माइक्रोसेविंग (सूक्ष्म बचत) कार्यक्रम गरीब लोगों को छोटी राशि नियमित रूप से बचाने के लिए प्रोत्साहित करते हैं। यह वित्तीय अनुशासन और आपातकालीन निधि बनाने में मदद करता है।,माइक्रोसेविंग क्या है?,गरीब लोगों को छोटी राशि नियमित रूप से बचाने के लिए प्रोत्साहित करने वाले कार्यक्रम।,Factual,Easy,माइक्रोसेविंग से क्या लाभ होता है?,वित्तीय अनुशासन और आपातकालीन निधि बनाने में मदद।,Factual,Medium,नियमित बचत की आदत कैसे विकसित होती है?,"मासिक जमा से अनुशासन बनता है, धीरे-धीरे राशि बढ़ती है, और सुरक्षा का अहसास होता है।",Analytical,Medium,माइक्रोसेविंग व्यवहारिक अर्थशास्त्र में कैसे फिट होता है?,"छोटे नियमित योगदान आत्म-नियंत्रण समस्या को हल करते हैं, डिफ़ॉल्ट विकल्प बचत बढ़ाता है, और प्रतिबद्धता उपकरण के रूप में कार्य करता है।",Analytical,Hard
Financial Services/Microfinance,"माइक्रोइंश्योरेंस जीवन बीमा, स्वास्थ्य बीमा, फसल बीमा जैसे उत्पाद कम प्रीमियम पर प्रदान करता है। यह गरीब परिवारों को अप्रत्याशित घटनाओं से बचाता है।",माइक्रोइंश्योरेंस क्या प्रदान करता है?,"जीवन बीमा, स्वास्थ्य बीमा, फसल बीमा जैसे उत्पाद कम प्रीमियम पर।",Factual,Easy,माइक्रोइंश्योरेंस किन परिवारों के लिए है?,गरीब परिवारों के लिए जो अप्रत्याशित घटनाओं से सुरक्षा चाहते हैं।,Factual,Easy,माइक्रोइंश्योरेंस की चुनौतियां क्या हैं?,"कम जागरूकता, दावा प्रक्रिया की जटिलता, प्रीमियम वहनीयता, और विश्वास की कमी।",Analytical,Medium,माइक्रोइंश्योरेंस बाजार असफलता को कैसे संबोधित करता है?,"प्रतिकूल चयन (उच्च जोखिम लोगों की अधिक रुचि), नैतिक जोखिम, और जानकारी विषमता को समूह-आधारित दृष्टिकोण से कम करता है।",Analytical,Hard
Financial Services/Microfinance,"डिजिटल माइक्रोफाइनेंस में मोबाइल बैंकिंग, UPI, डिजिटल वॉलेट का उपयोग बढ़ रहा है। इससे लेनदेन लागत कम हुई है और पारदर्शिता बढ़ी है।",डिजिटल माइक्रोफाइनेंस में क्या उपयोग हो रहा है?,"मोबाइल बैंकिंग, UPI, डिजिटल वॉलेट।",Factual,Easy,डिजिटल माइक्रोफाइनेंस से क्या लाभ हुआ है?,लेनदेन लागत कम हुई है और पारदर्शिता बढ़ी है।,Factual,Medium,UPI माइक्रोफाइनेंस में कैसे मदद करता है?,"तत्काल भुगतान, कैशलेस लेनदेन, दूरस्थ संग्रह, और कम लागत।",Analytical,Medium,डिजिटलीकरण वित्तीय साक्षरता को कैसे प्रभावित करता है?,"डिजिटल उपकरण वित्तीय शिक्षा को सुलभ बनाते हैं लेकिन डिजिटल विभाजन, साइबर सुरक्षा जोखिम, और अधिक निर्भरता चिंताजनक हैं।",Analytical,Hard
Financial Services/Microfinance,"प्रधानमंत्री मुद्रा योजना (PMMY) 2015 में शुरू की गई जो सूक्ष्म और लघु उद्यमों को ₹10 लाख तक का ऋण प्रदान करती है। इसमें शिशु (₹50,000), किशोर (₹50,000-5 लाख), तरुण (₹5-10 लाख) श्रेणियां हैं।",प्रधानमंत्री मुद्रा योजना कब शुरू की गई?,2015 में।,Factual,Easy,मुद्रा योजना की तीन श्रेणियां कौन सी हैं?,"शिशु (₹50,000 तक), किशोर (₹50,000-5 लाख), तरुण (₹5-10 लाख)।",Factual,Easy,मुद्रा योजना की सफलता के संकेतक क्या हैं?,"2023 तक 40+ करोड़ ऋण संवितरित, महिला उधारकर्ताओं का उच्च प्रतिशत, और रोजगार सृजन।",Analytical,Medium,मुद्रा योजना का राजकोषीय और नीतिगत निहितार्थ क्या है?,"सब्सिडी रहित ऋण, बड़े पैमाने पर रोजगार सृजन, लेकिन NPA जोखिम, राजकोषीय बोझ, और क्रेडिट अनुशासन चुनौतियां।",Analytical,Hard
Financial Services/Microfinance,"आंध्र प्रदेश माइक्रोफाइनेंस संकट 2010 में उच्च ब्याज दरों, कठोर वसूली प्रथाओं, और अधिक उधारी के कारण हुआ। इसके बाद नियामक सुधार किए गए।",आंध्र प्रदेश माइक्रोफाइनेंस संकट कब हुआ?,2010 में।,Factual,Easy,आंध्र प्रदेश संकट के कारण क्या थे?,"उच्च ब्याज दरें, कठोर वसूली प्रथाएं, और अधिक उधारी।",Factual,Medium,आंध्र संकट के बाद क्या सुधार हुए?,"ब्याज दर सीमा, बहु-उधारी डेटाबेस, ग्राहक सुरक्षा दिशानिर्देश, और संग्रह प्रथाओं का विनियमन।",Analytical,Medium,आंध्र संकट से माइक्रोफाइनेंस क्षेत्र ने क्या सीखा?,"आत्म-नियमन महत्वपूर्ण, पारदर्शिता आवश्यक, ग्राहक-केंद्रित दृष्टिकोण, बहु-उधारी निगरानी, और नियामक निगरानी जरूरी।",Analytical,Hard
Financial Services/Microfinance,सामाजिक प्रदर्शन प्रबंधन (Social Performance Management) माइक्रोफाइनेंस संस्थाओं के लिए महत्वपूर्ण है। यह न केवल वित्तीय बल्कि सामाजिक प्रभाव को भी मापता है।,सामाजिक प्रदर्शन प्रबंधन क्या मापता है?,न केवल वित्तीय बल्कि सामाजिक प्रभाव को भी।,Factual,Easy,सामाजिक प्रदर्शन क्यों महत्वपूर्ण है?,क्योंकि माइक्रोफाइनेंस का उद्देश्य केवल लाभ नहीं बल्कि सामाजिक विकास भी है।,Factual,Medium,सामाजिक प्रभाव मापन के संकेतक क्या हैं?,"ग्राहक प्रगति, आय वृद्धि, महिला भागीदारी, शिक्षा, और गरीबी स्तर में परिवर्तन।",Analytical,Medium,सामाजिक बनाम वित्तीय उद्देश्यों में संतुलन कैसे बनाएं?,"ट्रिपल बॉटम लाइन दृष्टिकोण, मिशन ड्रिफ्ट से बचना, सामाजिक प्रदर्शन मेट्रिक्स, और हितधारक जवाबदेही।",Analytical,Hard
Financial Services/Microfinance,"माइक्रोफाइनेंस संस्थाओं की स्थिरता के लिए उच्च पोर्टफोलियो गुणवत्ता (PAR<5%), परिचालन दक्षता, और पर्याप्त पूंजी आवश्यक है।",माइक्रोफाइनेंस संस्थाओं की स्थिरता के लिए क्या आवश्यक है?,"उच्च पोर्टफोलियो गुणवत्ता (PAR<5%), परिचालन दक्षता, और पर्याप्त पूंजी।",Factual,Easy,PAR का पूर्ण रूप क्या है?,Portfolio at Risk (जोखिम में पोर्टफोलियो)।,Factual,Medium,उच्च पोर्टफोलियो गुणवत्ता कैसे बनाए रखी जाती है?,"कठोर चयन मानदंड, नियमित निगरानी, प्रारंभिक चेतावनी संकेत, और पुनर्गठन तंत्र।",Analytical,Medium,प्रणालीगत जोखिम को माइक्रोफाइनेंस में कैसे प्रबंधित करें?,"विविधीकरण, पर्याप्त पूंजी, तरलता प्रबंधन, भौगोलिक और उत्पाद जोखिम कम करना, और मैक्रो-स्तर निगरानी।",Analytical,Hard
Financial Services/Microfinance,"फिनटेक कंपनियां माइक्रोफाइनेंस क्षेत्र को रूपांतरित कर रही हैं। AI और बिग डेटा का उपयोग क्रेडिट स्कोरिंग, जोखिम मूल्यांकन, और ग्राहक अधिग्रहण में किया जा रहा है।",फिनटेक कंपनियां किस तकनीक का उपयोग कर रही हैं?,AI और बिग डेटा।,Factual,Easy,क्रेडिट स्कोरिंग में AI का उपयोग कैसे होता है?,वैकल्पिक डेटा का विश्लेषण करके बिना क्रेडिट इतिहास वाले ग्राहकों का मूल्यांकन।,Factual,Medium,बिग डेटा जोखिम मूल्यांकन में कैसे मदद करता है?,"भुगतान पैटर्न, उपयोगिता बिल, मोबाइल उपयोग, और सामाजिक नेटवर्क डेटा का विश्लेषण।",Analytical,Medium,फिनटेक के साथ परंपरागत MFI का भविष्य क्या है?,"साझेदारी मॉडल (फिनटेक + MFI), प्रौद्योगिकी अपनाना, डेटा एनालिटिक्स, लेकिन मानवीय स्पर्श बनाए रखना और सामाजिक मिशन पर ध्यान।",Analytical,Hard
Financial Services/Microfinance,"माइक्रोफाइनेंस से गरीबी उन्मूलन में मदद मिलती है लेकिन यह अकेले पर्याप्त नहीं है। शिक्षा, स्वास्थ्य, कौशल विकास और बुनियादी ढांचे में निवेश भी आवश्यक है।",माइक्रोफाइनेंस गरीबी उन्मूलन के लिए क्या भूमिका निभाता है?,यह मदद करता है लेकिन अकेले पर्याप्त नहीं है।,Factual,Easy,गरीबी उन्मूलन के लिए और क्या आवश्यक है?,"शिक्षा, स्वास्थ्य, कौशल विकास और बुनियादी ढांचे में निवेश।",Factual,Medium,माइक्रोफाइनेंस की सीमाएं क्या हैं?,"यह केवल क्रेडिट देता है, संरचनात्मक गरीबी को संबोधित नहीं करता, और अधिक उधारी का जोखिम है।",Analytical,Medium,माइक्रोफाइनेंस सतत विकास लक्ष्यों में कैसे योगदान करता है?,"गरीबी उन्मूलन (SDG 1), भूख समाप्ति (SDG 2), लैंगिक समानता (SDG 5), आर्थिक विकास (SDG 8), असमानता कम करना (SDG 10)।",Analytical,Hard
Financial Services/Microfinance,"जिम्मेदार वित्त (Responsible Finance) के सिद्धांतों में ग्राहक सुरक्षा, पारदर्शी मूल्य निर्धारण, उचित वसूली प्रथाएं, गोपनीयता सुरक्षा, और शिकायत निवारण तंत्र शामिल हैं।",जिम्मेदार वित्त के सिद्धांतों में क्या शामिल है?,"ग्राहक सुरक्षा, पारदर्शी मूल्य निर्धारण, उचित वसूली, गोपनीयता सुरक्षा, शिकायत निवारण।",Factual,Easy,पारदर्शी मूल्य निर्धारण क्यों आवश्यक है?,ग्राहकों को सभी शुल्कों और ब्याज दरों की पूरी जानकारी देने के लिए।,Factual,Medium,उचित वसूली प्रथाओं के उदाहरण क्या हैं?,"गरिमापूर्ण संचार, लचीली चुकौती, कोई सार्वजनिक शर्मिंदगी नहीं, और उचित अनुस्मारक।",Analytical,Medium,जिम्मेदार वित्त को कैसे संस्थागत बनाया जाए?,"अनिवार्य कोड ऑफ कंडक्ट, नियमित प्रमाणन, स्वतंत्र ऑडिट, ग्राहक शिकायत तंत्र, और उद्योग मानक स्थापित करना।",Analytical,Hard
Banking/Financial Services,"वाणिज्यिक बैंक वित्तीय संस्थाएं हैं जो जमा स्वीकार करती हैं, ऋण प्रदान करती हैं, और अन्य वित्तीय सेवाएं जैसे धन हस्तांतरण, सुरक्षित जमा लॉकर, और विदेशी मुद्रा विनिमय प्रदान करती हैं। भारत में बैंक भारतीय रिज़र्व बैंक द्वारा विनियमित होते हैं।",वाणिज्यिक बैंक क्या सेवाएं प्रदान करते हैं?,"जमा स्वीकार करना, ऋण प्रदान करना, धन हस्तांतरण, सुरक्षित जमा लॉकर, विदेशी मुद्रा विनिमय।",Factual,Easy,भारत में बैंकों को कौन विनियमित करता है?,भारतीय रिज़र्व बैंक (RBI)।,Factual,Easy,वाणिज्यिक बैंक अर्थव्यवस्था में क्या भूमिका निभाते हैं?,"बचत को ऋण में बदलना, मुद्रा आपूर्ति नियंत्रण, भुगतान प्रणाली, आर्थिक विकास में योगदान।",Analytical,Medium,डिजिटल बैंकिंग पारंपरिक बैंकिंग को कैसे बदल रही है?,"शाखा निर्भरता कम, 24x7 पहुंच, कम लागत, व्यक्तिगत सेवाएं, लेकिन डिजिटल विभाजन और साइबर जोखिम चुनौतियां।",Analytical,Hard
Banking/Financial Services,बचत खाता (Savings Account) एक जमा खाता है जो ब्याज अर्जित करता है। इसमें सीमित निकासी सुविधा होती है और न्यूनतम शेष राशि बनाए रखनी होती है। बचत खाते पर ब्याज दर आमतौर पर 2.5% से 4% प्रति वर्ष होती है।,बचत खाते पर ब्याज दर कितनी होती है?,2.5% से 4% प्रति वर्ष।,Factual,Easy,बचत खाते में न्यूनतम शेष राशि क्यों आवश्यक है?,बैंक की परिचालन लागत को कवर करने और खाता सक्रियता सुनिश्चित करने के लिए।,Factual,Medium,बचत और चालू खाते में मुख्य अंतर क्या है?,"बचत में ब्याज मिलता है और सीमित लेनदेन, चालू में कोई ब्याज नहीं और असीमित लेनदेन।",Analytical,Medium,बचत खाते पर कम ब्याज दर का आर्थिक तर्क क्या है?,"मांग देयता (तुरंत निकासी), उच्च तरलता, कम जोखिम निवेश, और बैंक मार्जिन बनाए रखना।",Analytical,Hard
Banking/Financial Services,चालू खाता (Current Account) व्यवसायों और उद्यमियों के लिए डिज़ाइन किया गया है। इसमें असीमित लेनदेन की सुविधा होती है लेकिन कोई ब्याज नहीं मिलता। न्यूनतम शेष राशि आवश्यकता अधिक होती है।,चालू खाता किसके लिए डिज़ाइन किया गया है?,व्यवसायों और उद्यमियों के लिए।,Factual,Easy,चालू खाते में ब्याज क्यों नहीं मिलता?,क्योंकि यह व्यवसाय के लिए है और उच्च लेनदेन सुविधा प्रदान करता है।,Factual,Medium,चालू खाते की न्यूनतम शेष राशि अधिक क्यों होती है?,उच्च लेनदेन लागत और व्यवसाय सेवाओं की लागत को कवर करने के लिए।,Analytical,Medium,चालू खाते पर शून्य ब्याज की नीति क्या उचित है?,विवादास्पद - व्यवसायों को अधिक सुविधा लेकिन कोई रिटर्न नहीं; वैकल्पिक रूप से स्वीप सुविधा प्रदान की जा सकती है।,Analytical,Hard
Banking/Financial Services,सावधि जमा (Fixed Deposit/FD) एक निवेश साधन है जहां एक निश्चित अवधि के लिए एकमुश्त राशि जमा की जाती है। FD पर ब्याज दर 5% से 8% तक हो सकती है। समय से पहले निकासी पर दंड लगता है।,सावधि जमा क्या है?,एक निवेश साधन जहां निश्चित अवधि के लिए एकमुश्त राशि जमा की जाती है।,Factual,Easy,FD पर समय से पहले निकासी पर क्या होता है?,दंड लगता है और कम ब्याज मिलता है।,Factual,Medium,FD और RD में कौन बेहतर है?,"FD एकमुश्त निवेश के लिए, RD नियमित बचत के लिए बेहतर; FD पर थोड़ा अधिक ब्याज।",Analytical,Medium,FD बनाम म्यूचुअल फंड - दीर्घकालिक धन सृजन के लिए क्या बेहतर है?,"FD सुरक्षित लेकिन कम रिटर्न (मुद्रास्फीति-समायोजित), म्यूचुअल फंड उच्च रिटर्न लेकिन अस्थिर; विविधीकरण बेहतर रणनीति।",Analytical,Hard
Banking/Financial Services,आवर्ती जमा (Recurring Deposit/RD) में हर महीने एक निश्चित राशि जमा की जाती है। यह नियमित बचत की आदत विकसित करने में मदद करता है। परिपक्वता पर मूलधन और ब्याज मिलता है।,आवर्ती जमा में क्या होता है?,हर महीने एक निश्चित राशि जमा की जाती है।,Factual,Easy,RD नियमित बचत में कैसे मदद करता है?,मासिक योगदान से अनुशासित बचत की आदत बनती है।,Factual,Medium,आवर्ती जमा किसके लिए उपयुक्त है?,नियमित आय वाले लोगों के लिए जो अनुशासित तरीके से बचत करना चाहते हैं।,Analytical,Medium,RD और SIP में तुलनात्मक विश्लेषण क्या है?,"दोनों अनुशासित बचत; RD निश्चित रिटर्न (5-7%), SIP बाजार-संबद्ध (12-15% संभावित); SIP दीर्घकालिक धन सृजन के लिए बेहतर।",Analytical,Hard
Banking/Financial Services,गृह ऋण (Home Loan) संपत्ति खरीदने या निर्माण के लिए दिया जाता है। ब्याज दर 8% से 10% होती है और अवधि 5-30 वर्ष तक हो सकती है। आयकर अधिनियम की धारा 80C और 24(b) के तहत कर लाभ मिलता है।,गृह ऋण की ब्याज दर क्या है?,8% से 10% प्रति वर्ष।,Factual,Easy,गृह ऋण पर कर लाभ किन धाराओं के तहत मिलता है?,धारा 80C (मूलधन) और 24(b) (ब्याज)।,Factual,Medium,गृह ऋण की EMI की गणना कैसे होती है?,"मूलधन, ब्याज दर, और अवधि के आधार पर; ऑनलाइन कैलकुलेटर उपलब्ध।",Analytical,Medium,गृह ऋण कर लाभ आवास क्षेत्र को कैसे प्रभावित करते हैं?,"मांग प्रोत्साहन, किफायती आवास को बढ़ावा, लेकिन राजकोषीय लागत और असमानता (उच्च आय वर्ग को अधिक लाभ)।",Analytical,Hard
Banking/Financial Services,व्यक्तिगत ऋण (Personal Loan) असुरक्षित ऋण है जो किसी भी उद्देश्य के लिए लिया जा सकता है। ब्याज दर 10% से 24% होती है। कोई संपार्श्विक की आवश्यकता नहीं होती लेकिन CIBIL स्कोर महत्वपूर्ण है।,व्यक्तिगत ऋण क्या है?,असुरक्षित ऋण जो किसी भी उद्देश्य के लिए लिया जा सकता है।,Factual,Easy,व्यक्तिगत ऋण के लिए CIBIL स्कोर क्यों महत्वपूर्ण है?,क्योंकि यह असुरक्षित ऋण है और क्रेडिट योग्यता निर्धारित करता है।,Factual,Medium,व्यक्तिगत ऋण की ब्याज दर इतनी अधिक क्यों होती है?,"असुरक्षित होने के कारण उच्च जोखिम, कोई संपार्श्विक नहीं।",Analytical,Medium,व्यक्तिगत ऋण का अत्यधिक उपयोग वित्तीय स्थिरता को कैसे खतरे में डालता है?,"उच्च ब्याज बोझ, EMI जाल, बचत की कमी, आपातकालीन निधि अभाव, और ऋण चक्र।",Analytical,Hard
Banking/Financial Services,क्रेडिट कार्ड एक भुगतान कार्ड है जो धारक को बैंक से उधार लेकर खरीदारी करने की अनुमति देता है। क्रेडिट अवधि 45-50 दिन होती है। देर से भुगतान पर 36-42% वार्षिक ब्याज लगता है।,क्रेडिट कार्ड की क्रेडिट अवधि कितनी होती है?,45-50 दिन।,Factual,Easy,क्रेडिट कार्ड पर देर से भुगतान का क्या परिणाम होता है?,36-42% वार्षिक ब्याज लगता है।,Factual,Easy,क्रेडिट कार्ड का जिम्मेदारी से उपयोग कैसे करें?,"पूरी राशि समय पर चुकाएं, क्रेडिट लिमिट के 30% से कम उपयोग करें, अनावश्यक खर्च से बचें।",Analytical,Medium,क्रेडिट कार्ड ऋण जाल से कैसे बचा जाए?,"पूर्ण भुगतान करें, आवश्यकता बनाम इच्छा में अंतर करें, बजट बनाएं, आपातकालीन निधि रखें, न्यूनतम भुगतान से बचें।",Analytical,Hard
Banking/Financial Services,"डेबिट कार्ड सीधे धारक के बैंक खाते से जुड़ा होता है। लेनदेन तुरंत खाते से काट लिया जाता है। ATM से नकद निकासी, ऑनलाइन शॉपिंग, और POS पर भुगतान किया जा सकता है।",डेबिट कार्ड कैसे काम करता है?,सीधे बैंक खाते से जुड़ा होता है और लेनदेन तुरंत काट लिया जाता है।,Factual,Easy,डेबिट कार्ड से क्या-क्या किया जा सकता है?,"ATM से नकद निकासी, ऑनलाइन शॉपिंग, POS पर भुगतान।",Factual,Easy,डेबिट और क्रेडिट कार्ड में क्या अंतर है?,"डेबिट में अपना पैसा, क्रेडिट में बैंक का पैसा; डेबिट में तुरंत कटौती, क्रेडिट में बिल चक्र।",Analytical,Medium,कैशलेस अर्थव्यवस्था में डेबिट कार्ड की भूमिका क्या है?,"प्रत्यक्ष खाता लिंक, तत्काल लेनदेन, व्यापक स्वीकृति, सुरक्षित (PIN), नकद निर्भरता कम करता है।",Analytical,Hard
Banking/Financial Services,"नेट बैंकिंग (Internet Banking) ग्राहकों को इंटरनेट के माध्यम से बैंकिंग सेवाओं तक पहुंच प्रदान करती है। फंड ट्रांसफर, बिल भुगतान, खाता विवरण, और ऋण आवेदन ऑनलाइन किए जा सकते हैं।",नेट बैंकिंग क्या है?,इंटरनेट के माध्यम से बैंकिंग सेवाओं तक पहुंच।,Factual,Easy,नेट बैंकिंग में कौन सी सेवाएं उपलब्ध हैं?,"फंड ट्रांसफर, बिल भुगतान, खाता विवरण, ऋण आवेदन।",Factual,Easy,नेट बैंकिंग की सुरक्षा कैसे सुनिश्चित करें?,"मजबूत पासवर्ड, दो-कारक प्रमाणीकरण, सार्वजनिक WiFi से बचें, नियमित रूप से स्टेटमेंट चेक करें।",Analytical,Medium,साइबर सुरक्षा खतरे नेट बैंकिंग को कैसे प्रभावित करते हैं?,"फ़िशिंग, मालवेयर, डेटा उल्लंघन जोखिम; बहु-स्तरीय सुरक्षा (2FA, बायोमेट्रिक, एन्क्रिप्शन, AI-आधारित धोखाधड़ी पहचान) आवश्यक।",Analytical,Hard
Banking/Financial Services,NEFT (National Electronic Funds Transfer) एक इलेक्ट्रॉनिक फंड ट्रांसफर सिस्टम है जो 24x7 उपलब्ध है। यह बैंक खातों के बीच धन हस्तांतरण की सुविधा देता है। कोई अधिकतम सीमा नहीं है।,NEFT क्या है?,एक इलेक्ट्रॉनिक फंड ट्रांसफर सिस्टम जो 24x7 उपलब्ध है।,Factual,Easy,NEFT की कोई अधिकतम सीमा क्यों नहीं है?,क्योंकि यह सभी प्रकार के लेनदेन को सुविधाजनक बनाने के लिए डिज़ाइन किया गया है।,Factual,Medium,"NEFT, RTGS और IMPS में से कब क्या चुनें?","छोटी राशि-NEFT/UPI, उच्च राशि-RTGS, आपातकाल-IMPS।",Analytical,Medium,भारत में डिजिटल भुगतान पारिस्थितिकी तंत्र का विकास क्या है?,"UPI (तत्काल), IMPS (24x7), BHIM (सरकार), वॉलेट, QR कोड, संपर्क रहित; COVID ने गति दी; वैश्विक मॉडल।",Analytical,Hard
Banking/Financial Services,RTGS (Real Time Gross Settlement) उच्च मूल्य के लेनदेन के लिए है। न्यूनतम राशि ₹2 लाख है। यह वास्तविक समय में सकल आधार पर निपटान करता है। NEFT से तेज़ है।,RTGS के लिए न्यूनतम राशि कितनी है?,₹2 लाख।,Factual,Easy,RTGS NEFT से कैसे अलग है?,"RTGS वास्तविक समय में है, न्यूनतम ₹2 लाख, तेज़ निपटान।",Factual,Medium,RTGS शुल्क अधिक क्यों होता है?,उच्च मूल्य लेनदेन और वास्तविक समय निपटान की लागत।,Analytical,Medium,RTGS और NEFT का समेकन क्यों आवश्यक था?,"सरलीकरण, लागत में कमी, एकीकृत प्रणाली, उपयोगकर्ता भ्रम कम, बेहतर दक्षता।",Analytical,Hard
Banking/Financial Services,"IMPS (Immediate Payment Service) तत्काल धन हस्तांतरण सेवा है जो 24x7 उपलब्ध है। मोबाइल नंबर, खाता संख्या या आधार नंबर से पैसे भेजे जा सकते हैं। प्रति लेनदेन सीमा ₹5 लाख है।",IMPS की प्रति लेनदेन सीमा कितनी है?,₹5 लाख प्रति लेनदेन।,Factual,Easy,IMPS में किन माध्यमों से पैसे भेजे जा सकते हैं?,"मोबाइल नंबर, खाता संख्या, या आधार नंबर।",Factual,Easy,IMPS का उपयोग कब करना चाहिए?,तत्काल धन हस्तांतरण की आवश्यकता हो या बैंक बंद हो।,Analytical,Medium,IMPS भारत के डिजिटल परिवर्तन में कैसे योगदान देता है?,"बैंकिंग घंटों की बाधा हटाना, आपातकालीन लेनदेन, ई-कॉमर्स को बढ़ावा, वित्तीय समावेशन।",Analytical,Hard
Banking/Financial Services,UPI (Unified Payments Interface) डिजिटल भुगतान प्रणाली है जो तुरंत बैंक-से-बैंक लेनदेन को सक्षम बनाती है। वर्चुअल पेमेंट एड्रेस (VPA) का उपयोग करके लेनदेन किया जाता है। प्रति लेनदेन सीमा ₹1 लाख है।,UPI में VPA क्या है?,Virtual Payment Address - वर्चुअल पेमेंट एड्रेस।,Factual,Easy,UPI की प्रति लेनदेन सीमा क्या है?,₹1 लाख प्रति लेनदेन।,Factual,Easy,UPI की लोकप्रियता के कारण क्या हैं?,"सरलता, तत्काल लेनदेन, कोई शुल्क नहीं, व्यापक स्वीकृति, सुरक्षित।",Analytical,Medium,UPI की सफलता के पीछे प्रौद्योगिकी और नीति कारक क्या हैं?,"NPCI इन्फ्रास्ट्रक्चर, सरल UX, इंटरऑपरेबिलिटी, शून्य शुल्क नीति, सरकार समर्थन, व्यापारी प्रोत्साहन।",Analytical,Hard
Banking/Financial Services,CIBIL (Credit Information Bureau India Limited) क्रेडिट स्कोर 300 से 900 के बीच होता है। 750+ स्कोर को अच्छा माना जाता है। यह ऋण स्वीकृति और ब्याज दर को प्रभावित करता है।,अच्छा CIBIL स्कोर कितना माना जाता है?,750+,Factual,Easy,CIBIL स्कोर की रेंज क्या है?,300 से 900।,Factual,Easy,CIBIL स्कोर कैसे सुधारें?,"समय पर EMI चुकाएं, क्रेडिट उपयोग कम रखें, पुराने खाते बनाए रखें, कई ऋण से बचें।",Analytical,Medium,क्रेडिट स्कोरिंग में AI और मशीन लर्निंग का उपयोग कैसे हो रहा है?,"वैकल्पिक डेटा (मोबाइल, उपयोगिता बिल), पैटर्न पहचान, वास्तविक समय मूल्यांकन, पूर्वानुमानित विश्लेषण, पूर्वाग्रह जोखिम।",Analytical,Hard
Banking/Financial Services,"KYC (Know Your Customer) नियम बैंकों को ग्राहक की पहचान सत्यापित करने के लिए आवश्यक है। आधार, PAN, पासपोर्ट, ड्राइविंग लाइसेंस जैसे दस्तावेज़ स्वीकार किए जाते हैं। यह धोखाधड़ी और मनी लॉन्ड्रिंग रोकता है।",KYC का उद्देश्य क्या है?,ग्राहक की पहचान सत्यापित करना और धोखाधड़ी रोकना।,Factual,Easy,KYC के लिए कौन से दस्तावेज़ स्वीकार किए जाते हैं?,"आधार, PAN, पासपोर्ट, ड्राइविंग लाइसेंस।",Factual,Easy,e-KYC प्रक्रिया क्या है?,आधार-आधारित ऑनलाइन सत्यापन जो तुरंत और पेपरलेस होता है।,Analytical,Medium,KYC और डेटा गोपनीयता के बीच संतुलन कैसे बनाएं?,"स्तरीय KYC, न्यूनतम डेटा संग्रह, सुरक्षित भंडारण, सहमति-आधारित साझाकरण, डेटा स्थानीयकरण।",Analytical,Hard
Banking/Financial Services,"प्राथमिकता क्षेत्र ऋण (Priority Sector Lending) बैंकों को कुल ऋण का 40% कृषि, MSME, शिक्षा, आवास जैसे क्षेत्रों में देना अनिवार्य है। यह समावेशी विकास को बढ़ावा देता है।",प्राथमिकता क्षेत्र ऋण में कितना प्रतिशत देना अनिवार्य है?,कुल ऋण का 40%।,Factual,Easy,प्राथमिकता क्षेत्र में कौन से क्षेत्र शामिल हैं?,"कृषि, MSME, शिक्षा, आवास।",Factual,Easy,प्राथमिकता क्षेत्र ऋण क्यों अनिवार्य है?,"समावेशी विकास, कमजोर वर्गों तक ऋण पहुंच, संतुलित आर्थिक विकास।",Analytical,Medium,प्राथमिकता क्षेत्र ऋण लक्ष्य पूरा न करने पर क्या प्रभाव होता है?,"बैंक को RIDF (ग्रामीण बुनियादी ढांचा विकास कोष) में जमा करना होता है, कम रिटर्न पर; अनुपालन प्रोत्साहन।",Analytical,Hard
